NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IPV4, DIRECCION_IPV6, VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 CRED1004X1,Loopback0,,,WAN: 181.225.41.18/32 - LAN: ,WAN: 2803:D480:0:73::18/128 - LAN: ,,
 CRED1004X1,Port-channel1,,,,,,
 CRED1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,WAN: 172.23.249.2/28 - LAN: ,WAN: 2803:D480:0:80:0:3E80:0:4/124 - LAN: ,,
 CRED1004X1,Port-channel1.30,CRED-LEBRUN,30,WAN: 172.23.249.34/28 - LAN: ,WAN: 2803:D480:0:66::C001/64 - LAN: ,,
 CRED1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 CRED1004X1,Port-channel3,,,,,,
 CRED1004X1,Port-channel3.282(shutdown),,,,,,
 CRED1004X1,Port-channel4,,,,,,
 CRED1004X1,Port-channel5,,,,,,
 CRED1004X1,Port-channel6,,,,,,
 CRED1004X1,Port-channel8,,,,,,
 CRED1004X1,Port-channel9,,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1030,MCGROUP-CALL-C;ID:26616,1030,WAN: 172.23.241.113/30 - LAN: 190.94.198.24/29 ,,ACL:400M / Mb:400,ACL:400M / Mb:400,
 CRED1004X1,TenGigabitEthernet1/0/2.1034,SEG-ALT-P2-SW;ID:26655,1034,WAN: 172.23.240.49/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1045,CASIO-CM-P1;ID:26307,1045,WAN: 172.23.241.189/30 - LAN: 190.94.193.100/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1048,BPLAZA-MGMT;ID:26317,1048, SEC-WAN: 172.23.237.253/30 - LAN: WAN: 172.23.254.205/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1050,LIBER-CORP-SB-SW,1050,WAN: 172.23.238.13/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1152,ANAU-QUINTA;ID:4,1152,WAN: 190.94.210.205/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/2.1161,ANAUC-IESA;ID:26129,1161,WAN: 172.23.245.53/30 - LAN: 190.94.243.72/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/2.1163,ANAUC-2NET-C-MEDICO,1163,WAN: 172.23.243.237/30 - LAN: 190.94.199.216/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/2.1164,CLIN-ALFREDO-L;ID:26593,1164,WAN: 172.23.240.173/30 - LAN: 190.94.193.176/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1165,BET-EL;ID:26637,1165,WAN: 190.94.193.181/30 - LAN: ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/2.1169,PSUV;ID:4,1169,WAN: 172.23.242.61/30 - LAN: 190.94.200.60/30 ,,ACL:400M / Mb:400,ACL:400M / Mb:400,
 CRED1004X1,TenGigabitEthernet1/0/2.1903,LIBER-QUINTA-MERCED,1903,WAN: 172.23.241.237/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1921,LIBER-SALVAFOOD-PZA-VZLA,1921,WAN: 172.23.246.229/30 - LAN: 190.94.252.228/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1929,SOAINT;ID:26163,1929,WAN: 172.23.247.93/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1930(shutdown),LIBER-SOL-COELLO-P6,1930,WAN: 172.23.245.21/30 - LAN: 181.225.44.40/29 181.225.47.176/28 181.225.53.136/29 190.94.250.84/30 ,,ACL:COELLO-T_POLAR / Mb:1150,ACL:COELLO-T_POLAR / Mb:1150,
 CRED1004X1,TenGigabitEthernet1/0/2.1944,LIBER-EVENPRO-1;ID:26122,1944,WAN: 172.23.247.61/30 - LAN: 172.23.244.44/30 190.94.210.220/30 190.94.244.36/30 190.94.244.40/30 190.94.244.44/30 190.94.251.48/29 ,,ACL:340M / Mb:340,ACL:340M / Mb:340,
 CRED1004X1,TenGigabitEthernet1/0/2.1958,CRED-C-CRED-TC-SW,1958,WAN: 172.23.242.97/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.3005,LIBER-BANCOPLAZA-PPL;ID:26317,3005,WAN: 172.23.237.197/30 - LAN: 181.225.47.128/28 ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.3009,LIB-SIMPLE-TV-BM-MGMT,3009,WAN: 172.23.255.125/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3,CCSJ4500CREX2_xe-0/0/9_GALI-PCR-TPAR,,,,,
 CRED1004X1,TenGigabitEthernet1/0/3.57,GALI-MGMT,57,WAN: 172.23.249.145/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.501(shutdown),DESOMI-T-CAVENDES;ID:26589,501,WAN: 172.23.241.181/30 - LAN: 190.94.244.252/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet1/0/3.506(shutdown),ECHYASOC;ID:25934,506,WAN: 172.23.253.173/30 - LAN: 181.225.42.176/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.507(shutdown),PCR-FCHACON4 ,507,WAN: 181.225.48.49/29 - LAN: ,,ACL:5M / Mb:5,ACL:5M / Mb:5,
 CRED1004X1,TenGigabitEthernet1/0/3.508(shutdown),GARCIA-TUNON;ID:26200,508,WAN: 172.23.245.141/30 - LAN: 190.94.250.28/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.510(shutdown),COLAS-RAIL;ID:25923,510,WAN: 172.23.252.5/30 - LAN: 181.225.42.152/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.511,PCR-ESTANCIA-GRAN-2C,511,WAN: 190.94.253.241/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.513(shutdown),PCR-CON-PARCRISTAL,513,WAN: 172.23.252.81/30 - LAN: 181.225.40.144/29 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.515(shutdown),PRC-MOLINA-VIAJES(INT10M+VPN10M);ID:25957,515,WAN: 172.23.252.137/30 - LAN: 181.225.42.136/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.516(shutdown),PCR-BRASIL;ID:21210,516,WAN: 172.23.254.113/30 - LAN: 181.225.42.192/29 ,,ACL:180M / Mb:180,ACL:180M / Mb:180,
 CRED1004X1,TenGigabitEthernet1/0/3.518(shutdown),GAMA-LPG-PATIO;ID:25552,518,WAN: 172.23.240.21/30 - LAN: 190.94.193.52/30 190.94.200.88/30 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.522(shutdown),OPS;ID:26126,522,WAN: 172.23.253.169/30 - LAN: 181.225.42.184/29 ,,ACL:300M / Mb:300,ACL:300M / Mb:300,
 CRED1004X1,TenGigabitEthernet1/0/3.525(shutdown),YPERGAS;ID:26009,525,WAN: 172.23.251.177/30 - LAN: 181.225.41.224/28 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.527(shutdown),PRIMA-ISC-BUNKER;ID:21518,527,WAN: 172.23.255.245/30 - LAN: 181.225.42.144/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.528(shutdown),PCR-UNICEF-HP;ID:25552,528,WAN: 172.23.250.21/30 - LAN: 181.225.40.232/29 190.94.211.8/29 ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.531(shutdown),PC-OIM-QUINTA-AA,531,WAN: 172.23.242.69/30 - LAN: ,,ACL:200M / Mb:200,ACL:200M / Mb:200,
 CRED1004X1,TenGigabitEthernet1/0/3.532(shutdown),PC-MOHEDANO-P3;ID:26592,532,WAN: 172.23.241.249/30 - LAN: 190.94.244.164/30 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.534(shutdown),PCR-ACNUR-FIBRA;ID:11658,534,WAN: 172.23.252.25/30 - LAN: 181.225.41.240/28 ,,ACL:150M / Mb:153,ACL:150M / Mb:153,
 CRED1004X1,TenGigabitEthernet1/0/3.535(shutdown),PCR-VISA,535,WAN: 172.23.250.161/30 - LAN: 190.94.210.144/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.536(shutdown),PCR-UFPNA,536,WAN: 172.23.250.169/30 - LAN: 190.94.210.124/30 ,,ACL:200M / Mb:200,ACL:200M / Mb:200,
 CRED1004X1,TenGigabitEthernet1/0/3.538,PCR-ESTANCIA-GRANDE,538,WAN: 190.94.210.85/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.539,PCR-DANAL-PARK,539, SEC-WAN: 64.76.228.125/30 - LAN: WAN: 190.94.210.81/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.540(shutdown),PCR-AIV-DEL-ESTE,540,WAN: 172.23.250.81/30 - LAN: 190.94.208.52/30 190.94.208.56/30 190.94.210.0/30 190.94.210.76/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.541(shutdown),PCR-BNAI-BRITH,541,WAN: 190.94.210.73/30 - LAN: ,,ACL:4M / Mb:4,ACL:4M / Mb:4,
 CRED1004X1,TenGigabitEthernet1/0/3.542(shutdown),JABAD-LUVAVITCH;ID:26227,542,WAN: 190.94.210.69/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.543,PCR-TERRAZAS-ALTAM,543,WAN: 172.23.250.233/30 - LAN: 190.94.210.64/30 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.544(shutdown),CORP-SISA-LPG;ID:26031,544,WAN: 172.23.250.185/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.546(shutdown),CRUZ-ROJA-MOHEDANO;ID:20938,546,WAN: 172.23.255.49/30 - LAN: 190.94.200.216/30 190.94.208.164/30 ,,ACL:120M / Mb:120,ACL:120M / Mb:120,
 CRED1004X1,TenGigabitEthernet1/0/3.547(shutdown),PCR-EFE,547,WAN: 172.23.248.21/30 - LAN: 190.94.253.140/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.548(shutdown),BRILUX;ID:26099,548,WAN: 172.23.248.33/30 - LAN: 190.94.250.208/30 190.94.253.204/30 ,,ACL:80M / Mb:80,ACL:80M / Mb:80,
 CRED1004X1,TenGigabitEthernet1/0/3.549,PCR-IKIGAI,549,WAN: 172.23.248.37/30 - LAN: 190.94.253.208/30 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.550,PCR-ABRAHAM,550,WAN: 172.23.248.41/30 - LAN: 190.94.253.212/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.552,ALCALDIA-CHACAO;ID:25550,552,WAN: 172.23.255.209/30 - LAN: 181.225.44.120/29 181.225.48.96/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.563,GALI-CONDOMINIO-GALI;ID:4,563,WAN: 172.23.251.37/30 - LAN: 181.225.44.32/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.567,GALI-BC-GESTION;ID:4,567,WAN: 172.23.254.233/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.577,MS-INT-20;ID:26059,577, SEC-WAN: 172.23.254.5/30 - LAN: WAN: 190.94.211.25/29 - LAN: ,,ACL:150M / Mb:153,ACL:150M / Mb:153,
 CRED1004X1,TenGigabitEthernet1/0/3.578,MS-INT-10-1;ID:26059,578,WAN: 190.94.211.33/29 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.579,GALI-MS-MB;ID:26059,579,WAN: 172.23.254.21/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.580,GALI-MS-SOLANO;ID:26059,580,WAN: 172.23.254.17/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.583,GALI_RES;ID:4,583,WAN: 172.23.248.69/30 - LAN: 172.23.253.144/29 190.94.218.32/29 ,WAN: 2803:D480:1::8053/64 - LAN: 2803:D480:1::/56 2803:D480:200::/48 ,,
 CRED1004X1,TenGigabitEthernet1/0/3.586,MS-INT-10-2;ID:26059,586,WAN: 190.94.211.49/29 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.589,GALI-TEKKOA-MEDE,589,WAN: 190.94.199.177/30 - LAN: ,,ACL:330M / Mb:330,ACL:330M / Mb:330,
 CRED1004X1,TenGigabitEthernet1/0/3.598,BK2-T-PROVINC;ID:26785,598,WAN: 172.23.240.205/30 - LAN: 190.94.193.60/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.851,TPAR-PARMALAT;ID:25955,851,WAN: 172.23.252.41/30 - LAN: 181.225.48.128/29 ,,ACL:200M / Mb:200,ACL:200M / Mb:200,
 CRED1004X1,TenGigabitEthernet1/0/3.1501(shutdown),NEXTPOINT;ID:26124,1501,WAN: 172.23.247.161/30 - LAN: 190.94.218.48/29 ,,ACL:90M / Mb:90,ACL:90M / Mb:90,
 CRED1004X1,TenGigabitEthernet1/0/3.1502(shutdown),PCR-TEKKOA-LOUD-C,1502,WAN: 172.23.241.145/30 - LAN: 190.94.199.188/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1510,ABC-FINANCE;ID:26117,1510, SEC-WAN: 190.94.208.73/30 - LAN: WAN: 190.94.245.49/29 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1512(shutdown),ASAP;ID:10685,1512,WAN: 172.23.248.253/30 - LAN: 190.94.209.128/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1513,PCR-ESTANCIA-GRANDE-1C,1513,WAN: 190.94.208.89/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1514,PCR-ESTANCIA-GRANDE-3A,1514,WAN: 190.94.208.93/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1515,RED1-VL1515-PCR-ESTANCIA-GRANDE-3C,1515,WAN: 190.94.208.97/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1516,PCR-ESTANCIA-GRANDE-4B,1516,WAN: 190.94.208.101/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1517,PCR-ESTANCIA-GRANDE-PHA,1517,WAN: 190.94.208.105/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1518(shutdown),PCR-OBELISCO,1518,WAN: 172.23.247.33/30 - LAN: 181.225.53.0/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1520,PCR-REUTERS,1520,WAN: 172.23.247.117/30 - LAN: ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.1521(shutdown),PCR-RAMON-RAMIREZ,1521,WAN: 172.23.247.133/30 - LAN: 190.94.208.216/30 208.84.85.3/32 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1522(shutdown),PCR-LEON-M&A,1522,WAN: 172.23.247.149/30 - LAN: 190.94.208.144/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1524(shutdown),FONDO-DE-VALORES-QNTA;ID:26198,1524,WAN: 172.23.247.165/30 - LAN: 190.94.199.20/30 190.94.208.232/30 ,,ACL:10M / Mb:10,ACL:10M / Mb:10,
 CRED1004X1,TenGigabitEthernet1/0/3.1527(shutdown),PCR-DELLACQUA,1527,WAN: 172.23.245.9/30 - LAN: 181.225.40.104/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1528(shutdown),PCR-MARITIMA-MAROLA;ID:26139,1528,WAN: 172.23.247.225/30 - LAN: 190.94.208.172/30 ,,ACL:80M / Mb:80,ACL:80M / Mb:80,
 CRED1004X1,TenGigabitEthernet1/0/3.1531,PCR-GRUPO-OSEO,1531, SEC-WAN: 172.23.254.41/30 - LAN: WAN: 172.23.245.41/30 - LAN: 190.94.253.88/30 ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.1535(shutdown),CONDOMINIO-CAURIMARE;ID:4,1535,WAN: 172.23.246.89/30 - LAN: 190.94.252.28/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1548(shutdown),PCR-OBRAS-PUBLICAS,1548,WAN: 172.23.245.229/30 - LAN: 190.94.193.76/30 190.94.197.80/30 190.94.250.100/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1549,PC-HOTEL-4TA-AV;ID:26172,1549,WAN: 172.23.244.85/30 - LAN: 190.94.194.168/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1552,GALI-TEACHLRCORP-1881;ID:25975,1552,WAN: 172.23.245.69/30 - LAN: 190.94.253.100/30 ,,ACL:10M / Mb:10,ACL:10M / Mb:10,
 CRED1004X1,TenGigabitEthernet1/0/3.1553,GALI-AGEN-DE-FUTBOL,1553,WAN: 172.23.245.57/30 - LAN: 190.94.250.0/30 ,,ACL:10M / Mb:10,
 CRED1004X1,TenGigabitEthernet1/0/3.1558,MENCEY-CONTAC;ID:26523,1558,WAN: 172.23.244.13/30 - LAN: 190.94.194.216/30 190.94.250.160/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1561,CARROFERTA-LIDO;ID:26572,1561,WAN: 172.23.241.185/30 - LAN: 190.94.193.96/30 190.94.197.128/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1563,AGRO-AGUADIA;ID:26233,1563,WAN: 172.23.244.81/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1567,GALI-BC-IP;ID:22645,1567,WAN: 190.94.245.249/29 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1569,PERLA-DEL-SUR-2;ID:26207,1569,WAN: 172.23.245.253/30 - LAN: 190.94.250.120/30 ,,ACL:20M / Mb:20,ACL:20M / Mb:20,
 CRED1004X1,TenGigabitEthernet1/0/3.1570,GALI-BPLAZA-TC-MGMT,1570,WAN: 172.23.244.213/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.1577,POR-LA-PASTORA;ID:26298,1577,WAN: 172.23.246.141/30 - LAN: 190.94.252.88/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet1/0/3.1582,SISNET-LIDO;ID:26644,1582,WAN: 172.23.246.205/30 - LAN: 190.94.252.200/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1604,GRUPO-OSEO-PC;ID:26169,1604,WAN: 172.23.254.37/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.1610(shutdown),LIBERTY-EXPRESS;ID:26186,1610,WAN: 172.23.245.61/30 - LAN: 190.94.208.152/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1611(shutdown),PCR-QTA-SERRANA;ID:26170,1611,WAN: 172.23.248.45/30 - LAN: 190.94.250.148/30 ,,ACL:300M / Mb:300,ACL:300M / Mb:300,
 CRED1004X1,TenGigabitEthernet1/0/3.1619(shutdown),BORN-RAISED;ID:26223,1619,WAN: 172.23.244.89/30 - LAN: 190.94.250.204/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1620,PCR-ADANFARMA;ID:26222,1620,WAN: 172.23.244.93/30 - LAN: 190.94.245.144/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1622(shutdown),PCR-JOYERIA-RIO,1622,WAN: 172.23.244.101/30 - LAN: 190.94.250.212/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1624,INTELICORP-MEDE;ID:26588,1624,WAN: 172.23.240.29/30 - LAN: 190.94.198.208/29 190.94.198.216/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1626,PCR-TOP-IP-2_(TOP_ALLIED);ID:26133,1626,WAN: 190.94.250.61/30 - LAN: ,WAN: 2803:D480:0:7A::8053/64 - LAN: ,ACL:200M / Mb:200,ACL:200M / Mb:200,
 CRED1004X1,TenGigabitEthernet1/0/3.1628,HELIOS;ID:26252,1628,WAN: 172.23.246.181/30 - LAN: 190.94.252.152/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1629(shutdown),PCR-SISNET;ID:26644,1629,WAN: 172.23.246.185/30 - LAN: 190.94.251.160/29 190.94.252.156/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1632(shutdown),PCR-ADM-MENGIM,1632,WAN: 172.23.246.233/30 - LAN: 190.94.210.33/32 190.94.252.232/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1633(shutdown),INVERCAPITAL;ID:26276,1633,WAN: 172.23.246.237/30 - LAN: 190.94.252.236/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1637(shutdown),MOHEDAN56-PH;ID:26225,1637,WAN: 172.23.246.189/30 - LAN: 190.94.252.188/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1638,PCR-PROAGRO;ID:26506,1638,WAN: 172.23.241.65/30 - LAN: 190.94.199.164/30 ,,ACL:40M / Mb:40,ACL:40M / Mb:40,
 CRED1004X1,TenGigabitEthernet1/0/3.1639(shutdown),GRUPO-PHX;ID:26283,1639,WAN: 172.23.246.117/30 - LAN: 190.94.251.96/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1643,CRUZ-ROJA-GALIA;ID:20938,1643,WAN: 172.23.243.5/30 - LAN: 190.94.199.28/30 190.94.252.60/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1648,PCR-VIVA-SUPERCEN-SW ,1648,WAN: 172.23.244.205/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.1751(shutdown),GAMA-SEDUVIGIS;ID:26091,1751,WAN: 172.23.244.221/30 - LAN: 190.94.193.248/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1753(shutdown),PCR-PARAWA,1753,WAN: 172.23.243.61/30 - LAN: 190.94.199.28/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1755(shutdown),PCR-SOLUCIONES-EMP,1755,WAN: 172.23.243.153/30 - LAN: 190.94.244.20/30 190.94.251.32/29 190.94.251.216/29 ,,ACL:70M / Mb:70,ACL:70M / Mb:70,
 CRED1004X1,TenGigabitEthernet1/0/3.1757(shutdown),PCR-IG-NETWORKS,1757,WAN: 172.23.243.101/30 - LAN: 190.94.244.48/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1759,PCR-TEKKOA-SW;ID:4,1759,WAN: 172.23.244.57/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.1760,PCR-TEKKOA,1760,WAN: 190.94.243.113/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/3.1761(shutdown),PCR-ROCAVILA,1761,WAN: 172.23.243.169/30 - LAN: 190.94.244.80/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet1/0/3.1762(shutdown),DRAGAS-DEL-SUR;ID:26525,1762,WAN: 172.23.242.137/30 - LAN: 190.94.199.180/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1763,PCR-BLUECHIP,1763,WAN: 172.23.243.197/30 - LAN: 190.94.244.128/30 ,,ACL:40M / Mb:40,ACL:40M / Mb:40,
 CRED1004X1,TenGigabitEthernet1/0/3.1764(shutdown),PCR-IFRC,1764,WAN: 172.23.244.253/30 - LAN: 190.94.199.220/30 ,,ACL:150M / Mb:153,ACL:150M / Mb:153,
 CRED1004X1,TenGigabitEthernet1/0/3.1766(shutdown),CONSULTORES-AMD;ID:26461,1766,WAN: 172.23.242.133/30 - LAN: 190.94.199.168/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/3.1767(shutdown),PC-ESCALABEDS,1767,WAN: 172.23.241.149/30 - LAN: 190.94.244.204/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/3.1768(shutdown),PC-CISE,1768,WAN: 172.23.243.229/30 - LAN: 190.94.199.160/30 ,,ACL:60M / Mb:60,ACL:60M / Mb:60,
 CRED1004X1,TenGigabitEthernet1/0/3.1771(shutdown),C-SANTIAGO-LEON;ID:26340,1771,WAN: 172.23.244.105/30 - LAN: 190.94.199.92/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
